"Architecture Sniffers","Архітектурні нюхачі"
Catalog,Каталог
"Collector: Drop Search Timestamps","Колектор: Видалити часові позначки пошуку"
"Collector: Drop Storage Timestamps","Колектор: Збереження часових міток падінь"
Content,Зміст
"Global Threshold","Глобальний поріг"
Marketplace,Маркетплейс
"Merchant Relationships Threshold","Поріг відносин з торговцями"
"MIME Type Settings","Налаштування типів MIME"
"Module Overview","Огляд модуля"
"Sync Permissions","Синхронізувати дозволи"
"User Groups","Групи користувачів"
"User Roles","Ролі користувачів"
Users,Користувачі
