"%s header(s) is missing in uploaded csv file","У завантаженому файлі csv відсутні %s заголовок(ки)"
"Abstract product was not found by provided sku %s.","Абстрактний продукт не був знайдений за наданим артикулом %s."
Actions,Дії
"An identical scheduled price already exists for this product.","Ідентична запланована ціна вже існує для цього товару."
"Are you sure about deleting the Scheduled prices %s?","Ви впевнені, що хочете видалити заплановані ціни %s?"
"Are you sure about deleting this scheduled price?","Ви впевнені, що хочете видалити цю заплановану ціну?"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","Натиснувши кнопку ""Опублікувати"" нижче, ви надішлете заплановані ціни до живої системи."
"Concrete product was not found by provided sku %s.","Бетонний продукт не був знайдений за наданим артикулом %s."
"Currency was not found by provided iso code %s.","Валюта не була знайдена за наданим кодом iso %s."
"Dates must be in right format and to date must be greater than from.","Дата повинна бути в правильному форматі, і кінцева дата повинна бути більшою, ніж початкова."
Delete,Видалити
Download,Завантажити
Draft,Чернетка
"Dry run of your import","Пробний запуск вашого імпорту"
Edit,Редагувати
"Eg: Christmas sales, etc.","###Text:
Наприклад: Різдвяні розпродажі тощо."
Error,Помилка
"Errors found inside your file","Помилки, виявлені у вашому файлі"
"Finish at must be greater than start from","Закінчення повинно бути більше, ніж початок"
"Gross and Net Amount must be a positive integer.","Груба та чиста сума повинні бути додатніми цілими числами."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","Якщо ви хочете повторити імпорт з виправленими даними, скористайтеся кнопкою ""Імпортувати ваш файл csv""."
Import,Імпорт
"Import ID","Імпорт ID"
"Import n","Імпортуйте n"
"Import new scheduled prices","Імпортуйте нові заплановані ціни"
"Import Scheduled Prices","Імпорт Запланованих Цін"
"Import your CSV file","Імпортуйте свій файл CSV"
"Imported by and on the","Імпортовано та на сайті"
"Imported by on the","Імпортовано компанією на\n"
"Importing a lot of scheduled prices can take some time.","Імпортування великої кількості запланованих цін може зайняти певний час."
"Learn about file format on our documentation","Дізнайтеся про формат файлу в нашій документації"
Name,Ім'я
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","Ціни не було оброблено. Можливо, у вашому файлі є помилки або ціни не були визначені."
"No, I want to keep this price","Ні, я хочу залишити цю ціну"
"Number of prices","Кількість цін"
"Number of products","Кількість товарів"
"One Product Abstract Sku or Product Concrete Sku must be provided.","Необхідно вказати абстрактний артикул товару або конкретний артикул товару."
"Price type was not found by provided sku %s.","Тип ціни не було знайдено за наданим артикулом %s."
Prices,Ціни
"Publish the scheduled prices","Опублікувати заплановані ціни"
Published,Опубліковано
"Row n°","Рядок №\n"
"Row processed with success","Ряд успішно оброблено"
"Schedule name","Назва розкладу"
"Schedule price haven not been saved","Ціна розкладу не була збережена"
"Scheduled price already exists.","Запланована ціна вже існує."
"Scheduled price has been successfully saved","Заплановану ціну успішно збережено"
"Scheduled price list was successfully removed","Розкладений прайс-лист був успішно видалений"
"Scheduled Prices","Заплановані ціни"
"Scheduled prices inside import","Заплановані ціни всередині імпорту"
"Scheduled Prices: Import dry run","Заплановані ціни: Імпорт пробіжки без вологи"
"Select your CSV file","Виберіть ваш файл CSV"
Status,Статус
"Store was not found by provided name %s.","Магазин не було знайдено за наданим ім'ям %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","Часовий пояс, який буде використовуватися для запланованої ціни, буде %s, як визначено у вибраному магазині"
"They will be available to your customers based on the dates","Вони будуть доступні вашим клієнтам згідно з датами"
"Via data import","Через імпорт даних"
View,Переглянути
"Yes, delete this price","Так, видалити цю ціну"
"Yes, delete those prices","Так, видалити ці ціни"
"No, I want to keep those prices","Ні, я хочу залишити ці ціни"
"Delete Import","Видалити Імпорт"
"You will delete %d prices for %d products. Is this what you want?","Ви видалите %d цін для %d продуктів. Чи це те, що ви хочете?"
"You will find below the list errors and successfully processed rows inside your import file.","Нижче ви знайдете список помилок та успішно оброблених рядків у вашому файлі імпорту."
"Your file does not contain any errors.","Ваш файл не містить жодних помилок."
"Your prices are now available to your custoers based on their start and end date.","Ваші ціни тепер доступні вашим клієнтам на основі їх початкової та кінцевої дати."
"Your prices are now available to your customers based on their start and end date.","Ваші ціни тепер доступні вашим клієнтам на основі їх початкової та кінцевої дати."
"Your scheduled prices have been published","Ваші заплановані ціни були опубліковані"
"Price type","Тип ціни"
"Start from (included)","Почати з (включно)"
"Finish at (included)","Завершити на (включно)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","Ви можете визначити ціну на продукт, яка набуде чинності у певну дату та час у майбутньому. Ви можете визначити кілька цін на один і той же період."
"Import via CSV file","Імпорт через файл CSV"
"Add scheduled price","Додати заплановану ціну"
"Scheduled prices inside this import","Заплановані ціни у цьому імпорті"
"View Import","Переглянути Імпорт"
"Edit Import","Редагувати Імпорт"
"Edit Scheduled Price","Редагувати заплановану ціну"
"Scheduled price information","Запланована інформація про ціни"
"Scheduled price was successfully removed","Запланована ціна була успішно видалена."
"Choose store","Виберіть магазин"
"Choose currency","Виберіть валюту"
"Net price or gross price must be filled","Необхідно заповнити чисту або брутто ціну"
"Scheduled prices imported","Заплановані ціни імпортовані"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","Часовий пояс, який буде використовуватися для запланованої ціни, буде <b class=""timezone""></b>, як визначено вибраним магазином."
