"Back to Tax Rates","Повернутися до податкових ставок"
"Back to Tax Sets","Повернутися до Наборів податків"
"Could not delete tax set. Is it assigned to product or shipping method?","Не вдалося видалити набір податків. Чи він призначений для продукту або методу доставки?"
Country,Країна
"Create Tax Rate","Створити податкову ставку"
"Create Tax Set","Створити набір податків"
"Created at","Створено о %"
Delete,Видалити
"Delete Tax Rate","Видалити податкову ставку"
"Delete Tax Set","Видалити набір податків"
Edit,Редагувати
"Edit Tax Rate:","Редагувати податкову ставку:"
"Edit Tax Set:","Редагувати набір податків:"
"List of tax rates","Список податкових ставок"
"List of tax sets","Список наборів податків"
N/A,n/a
Name,Ім'я
"Overview of Tax Rates","Огляд податкових ставок"
"Overview of Tax Sets","Огляд наборів податків"
Percentage,Відсоток
Save,Зберегти
"Select country.","Виберіть країну."
"Tax rate %d was created successfully.","Податкова ставка %d була успішно створена."
"Tax rate %d was deleted successfully.","Податкова ставка %d була успішно видалена."
"Tax rate %d was updated successfully.","Податкова ставка %d була успішно оновлена."
"Tax Rate deletion confirmation","Ставка податку успішно видалена"
"Tax rate details","Деталі ставок податку"
"Tax rate ID","Ідентифікатор податкової ставки"
"Tax rate with id %s doesn't exist","Податкова ставка з ідентифікатором %s не існує"
"Tax rate with provided name, percentage and country already exists.","Ставка податку з вказаною назвою, відсотком і країною вже існує."
"Tax rates","Ставки податків"
"Tax Rates","Ставки податків"
"Tax set %d was created successfully.","Податковий набір %d був успішно створений."
"Tax set %d was updated successfully.","Податковий набір %d було успішно оновлено."
"Tax Set deletion confirmation","Ви впевнені, що хочете видалити цей набір податків?"
"Tax set details","Подробиці налаштування податків"
"Tax set ID","Ідентифікатор набору податків"
"Tax set is not created. Please fill-in all required fields.","Податковий набір не створено. Будь ласка, заповніть всі обов'язкові поля."
"Tax set with id %s doesn't exist","Податковий набір з ідентифікатором %s не існує"
"Tax Set with name ""%name%"" already exists.","Податковий набір з назвою ""%name%"" вже існує."
"Tax Sets","Набори податків"
Taxes,Податки
"The tax set has been deleted","Податковий набір було видалено"
"Updated at","Оновлено о %"
"View Tax Rate:","Переглянути ставку податку:"
"View Tax Set:","Переглянути набір податків:"
"You should choose one or more tax rates","Ви повинні вибрати одну або кілька податкових ставок"
"No country","Немає країни"
"Edit Tax Rate","Редагувати податкову ставку"
"Edit Tax Set","Редагувати набір податків"
