"Are you sure about deleting this navigation?","Ви впевнені, що хочете видалити цю навігацію?"
"Are you sure you remove the selected node and all its children?","Ви впевнені, що хочете видалити обраний вузол і всі його дітей?"
"Back to Navigation Elements","Повернутися до навігаційних елементів"
"Create child node","Створити дочірній вузол"
"Create Navigation Element","Створити навігаційний елемент"
"Delete Navigation","Видалити навігацію"
"Delete selected node","Видалити обраний вузол"
Duplicate,Дублювати
"Duplicate Navigation Element","Дублювання навігаційного елементу"
"Edit node","Редагувати вузол"
Key,Ключ
Name,Ім'я
"Navigation element details","Деталі елементу навігації"
"Navigation element %d was deleted successfully.","Навігаційний елемент %d був успішно видалений."
"Navigation element %d was not found.","Елемент навігації %d не знайдено."
"Navigation removal confirmation","Підтвердження видалення навігації"
"Navigation tree","Дерево навігації"
"No, I want to keep this navigation","Ні, я хочу залишити цю навігацію"
Save,Зберегти
"Save order","Зберегти замовлення"
Search,Пошук
"Yes, delete this navigation","Так, видалити цю навігацію"
"Overview of Navigation Elements","Огляд навігаційних елементів"
"Navigation element %d was activated successfully.","Навігаційний елемент %d був успішно активований."
"Navigation element %d was deactivated successfully.","Навігаційний елемент %d було успішно деактивовано."
