Approved,Схвалено
"Back to CMS","Повернутися до CMS"
"Back to list","Повернутися до списку"
"Block Id","Ідентифікатор блоку"
Blocks,Блоки
"Categories: bottom","Категорії: низ."
"Categories: middle","Категорії: середні"
"Categories: top","Категорії: головні"
"Category list","Список категорій"
"CMS Block","Блок CMS"
"CMS Block was created successfully.","Блок CMS було успішно створено."
"CMS Block was deactivated successfully.","Блок CMS було успішно деактивовано."
"CMS Block was updated successfully.","CMS Блок було успішно оновлено."
Content,Зміст
"Create block","Створити блок"
"Create CMS Block","Створити блок CMS"
"Edit block","Редагувати блок"
"Edit Block Glossary:","Редагувати блок Глосарій:"
"Edit CMS Block:","Редагувати блок CMS:"
"Edit placeholders","Редагувати заповнювачі"
"Invalid data provided.","Надано недійсні дані."
"Is active:",Активний:
"List of CMS blocks","Список блоків CMS"
"Missing placeholders for selected template.","Відсутні місця для заповнення обраного шаблону."
n/a,n/a
Name,Ім'я
no,Ні
"Overview of CMS Blocks","Огляд блоків CMS"
"Placeholder translations successfully updated.","Заповнювачі перекладів успішно оновлені."
"Product list","Список продуктів"
Sales,Продажі
Save,Зберегти
"Selected template doesn't exist anymore","Вибраний шаблон більше не існує"
"Selected template doesn't exist anymore.","Вибраний шаблон більше не існує."
"Store relation","Зв'язок магазину"
Template,Шаблон
Template:,Шаблон:
"Translation key:","Translation key: Ключ перекладу:"
"Valid from","Дійсно з"
"Valid from:","Дійсно з (включно):"
"Valid to","Дійсно до"
"Valid to:","Дійсно до (не включно):"
"View CMS Block:","Переглянути блок CMS:"
yes,Так
"Create new CMS Block","Створити новий блок CMS"
"CMS content widgets usage information","Інформація про використання віджетів контенту CMS"
"CMS Block was activated successfully.","Блок CMS було успішно активовано."
"Edit Placeholder","Редагувати заповнювач"
"Edit Block","Редагувати блок"
"Edit CMS Block Glossary","Редагувати блок CMS Глосарій"
