"Add a file","Додати файл"
"Add MIME type","Додати тип MIME"
"Back to File Directory Elements","Повернутися до елементів каталогу файлів"
"Back to File Tree","Повернутися до дерева файлів"
"Back to MIME type list","Повернутися до списку типів MIME"
Cancel,Скасувати
confirm,підтвердити
"Confirm deleting","Підтвердити видалення"
"Create Directory Element","Створити елемент каталогу"
"Create File Directory","Створити каталог файлів"
Date,дата
"Delete Directory","Видалити каталог"
"Directory element details","Деталі елементу каталогу"
"Do you want to remove the folder with all files?","Ви хочете видалити теку з усіма файлами?"
"Edit file","Редагувати файл"
"Edit MIME type","Змінити тип MIME"
"Failed to delete MIME type","Не вдалося видалити тип MIME"
"File Directory tree updated successfully.","Дерево каталогів успішно оновлено."
"File List","Список файлів"
"File Manager","Файловий менеджер"
"File name","Назва файлу"
"File Tree","Дерево файлів"
"File type","Тип файлу"
"File type is not allowed for uploading","Тип файлу не дозволений для завантаження"
"File upload","Завантаження файлу"
"File was not found","Файл не знайдено"
"Files list","Список файлів"
"MIME type","Тип MIME"
"MIME type already exists","MIME тип вже існує"
"MIME type settings","Налаштування типів MIME"
"MIME type was successfully deleted","MIME тип було успішно видалено"
"MIME type was successfully saved","Тип MIME було успішно збережено"
Save,Зберегти
"Save order","Зберегти замовлення"
"Specify a file name or use real one","Вкажіть назву файлу"
"The file directory was added successfully.","Файловий каталог було успішно додано."
"The file was added successfully.","Файл було успішно додано."
"The file was edited successfully.","Файл було успішно відредаговано."
"Upload a file","Завантажити файл"
"Upload a file or specify a new file name","Завантажте файл або вкажіть нову назву файлу"
"Use file name","Використовуйте назву файлу"
"View file","Переглянути файл"
"Is allowed",Дозволено
"Add File","Додати файл"
"File Directories Tree","Дерево каталогів файлів"
"Overview of File Tree","Огляд дерева файлів"
"You cannot remove the only version of the file.","Ви не можете видалити єдину версію файлу."
"Available extensions for MIME type. Comma separated.","Доступні розширення для типу MIME. Розділені комами."
"There are no MIME types or extensions configured.","Немає налаштованих MIME-типів або розширень."
