"Add attribute to search","Додати атрибут до пошуку"
"Attribute key","Ключ атрибуту"
"Attribute key is already used","Ключ атрибуту вже використовується"
"Attribute to search was added successfully.","Атрибут для пошуку було успішно додано."
"Attribute to search was successfully deactivated.","Атрибут для пошуку було успішно деактивовано."
"Attribute to search was successfully updated.","Атрибут для пошуку було успішно оновлено."
"Attribute with id %s doesn't exist","Атрибут з ідентифікатором %s не існує"
"Category Filters","Фільтри категорій"
"Completion terms","Умови виконання"
"Create filter","Створити фільтр"
Delete,Видалити
Edit,Редагувати
"Edit filter order","Редагувати порядок фільтрації"
"Edit search preferences","Змінити налаштування пошуку"
"Edit Search Preferences","Змінити налаштування пошуку"
"Filter name","Назва фільтра"
"Filter position","Положення фільтра"
"Filter Preferences","Фільтр Налаштувань"
"Filter preference was created successfully.","Фільтр було успішно створено."
"Filter preference was updated successfully.","Фільтр було успішно оновлено."
"Filter preferences synchronization was successful.","Синхронізація уподобань фільтра успішно завершена."
"Filter successfully deleted.","Фільтр успішно видалено."
"Filter type","Тип фільтра"
"Full text","Повний текст"
"Full text boosted","Повний текст підвищено"
"General Information","Загальна інформація"
"Include for completion","Включено для завершення"
"Include for full text","Включено для повного тексту"
"Include for full text boosted","Включено для підвищення повного тексту"
"Include for suggestion","Включено для рекомендації"
"List of filters","Список фільтрів"
"List of search preferences","Список налаштувань пошуку"
multi-select,багатовибірковий
range,ассортимент
Save,Зберегти
"Save Order","Зберегти замовлення"
"Search and Filters","Пошук та Фільтри"
"Search Preferences","Налаштування пошуку"
"Search preferences","Налаштування пошуку"
"Search preferences synchronization was successful.","Синхронізація налаштувань пошуку пройшла успішно."
single-select,"Одиночний вибір"
"Suggestion terms","Пропозиції термінів"
"Synchronize filter preferences","Синхронізувати вподобання фільтрації"
"Synchronize search preferences","Синхронізувати налаштування пошуку"
"This field contains illegal characters. It should contain only lower case letters, digits, numbers, underscores (""_""), hyphens (""-"") and colons ("":"").","Це поле містить недопустимі символи. Воно повинно містити лише символи у нижньому регістрі, цифри, підкреслення (""_""), дефіси (""-"") та двокрапки ("":"")."
Translations,Переклади
"Type first three letters of an existing attribute key for suggestions.","Введіть перші три літери існуючого ключа атрибута для отримання пропозицій."
"View Filter","Переглянути фільтр"
"Deactivate all","Деактивувати все"
"Create Filter","Створити фільтр"
"Edit filter","Редагувати фільтр"
